Company Name,Title,Description,Location,Started On,Finished On
Capgemini,Analista de Sistema Pleno,"Desenvolvimento de novas features utilizando o framework Java kumuluz e Quarkus, NodeJs, React, ferramentas clound e ferramentas de deployment.","Brasília, Distrito Federal",Mar 2020,
SONDA,Desenvolvedor SW 4,"Desenvolvimento de novas features e manutenção em sistemas legados, linguagens de atuações até o momento: Java e angular 2+","Brasília, Distrito Federal",Nov 2019,Mar 2020
CONNECT DF,Desenvolvedor java,"Desenvolvimento de sistemas utilizando as linhagens Java Spring, Angular V2+, React JS e React Native.","SCN Q. 5, Bl. A, Sl. 1210/1211, Brasília Shopping Asa Norte Brasília 70715-900",Aug 2019,Nov 2019
Faros Educacional,Desenvolvedor Pleno,"Desenvolvimento de sistemas utilizando as linhagens C# (SGUS), Ruby (Redimine), Angular V2+ (trilhas, atendimento), NodeJs + Ionic (Conhecigame), PHP (Conselhos, transparência, Moodle, Eleições, etc), Extjs e Sencha Architect (sistemas da CODEVASF).","Setor de Autarquias Sul Q. 5 - Brasilia, Federal District, 70297-400  ",Feb 2018,Aug 2019
Output - Pax Vida,Desenvolvedor AOSP,Desenvolvimento de aplicações android voltado mais para AOSP. Desenvolvimento de API REST em rails.,"Brasília e Região, Brasil",Jan 2019,May 2019
Insert Web,Desenvolvedor freelancer,,"QS 01, Rua 212, Lotes 19,21 e 23, Sala 640  ED. CONNECTTOWERS  Taguatinga/DF  CE",May 2017,Feb 2018
Polisys Informática,Programador Java Training,Cargo: Estagiário Desenvolvimento de Sistemas com Spring Boot. Desenvolvimento de aplicações Web utilizando AngularJs.,"SRTVS Qd. 701 Ed. CENTRO MULTIEMPRESARIAL Sala 630, DF, 70340-000",Aug 2017,Oct 2017
CNM - Confederação Nacional de Municípios,Programador PHP ,"Desenvolvimento de Sistemas com Frameworks CodeIgniter, Laravel e Angular/TypeScript. Desenvolvimento de aplicativos híbridos utilizando Ionic versão mais atual. Manutenções evolutivas e corretivas em Sites e Hotsites. Modelagem, manipulação e tratamento de dados. Desenvolvimento de aplicações de Geoprocessamento, apresentação de dados com Javascript.","St. de Grandes Áreas Norte Quadra 601 Módulo N - Brasília, DF, 70830-010",Nov 2016,Aug 2017
Micromed Biotecnologia LTDA,Programador PHP,"Atualizar todos os sistemas da intranet mudando do accesses para o PHP utilizando o framework Phalcon 2.0, AdvPL, Protheus, Zend Framework 2, PostgreSQL, construção de web services (SOAP, REST), trabalhando com metodologia ágio de desenvolvimento SCRUM, SVN.",Guará 2,May 2015,Nov 2016
Proseg Administradora e Corretora de Seguros,Suporte a banco de dados,"Principais atividades: modelagem de dados, sistema de banco de dados, suporte aos usuários e suporte aos servidores, banco de dados SQL Server 2000/2008/2012. trabalhando no desenvolvimento do MultiCalculo sistema utilizado para calcular seguros e contratar seguros.","Brasília Area, Brazil",Jan 2013,Oct 2013
